,name,pn_bar,tfluid_k,height_m,in_service,type
324,Junction_18017_supply,10.0,359.3562478951201,0.0,True,junction
325,Junction_18017_return,8.0,308.15,0.0,True,junction
326,Junction_18021_supply,10.0,359.3562478951201,0.0,True,junction
327,Junction_18021_return,8.0,308.15,0.0,True,junction
328,Junction_18024_supply,10.0,359.3562478951201,0.0,True,junction
329,Junction_18024_return,8.0,308.15,0.0,True,junction
330,Junction_18027_supply,10.0,359.3562478951201,0.0,True,junction
331,Junction_18027_return,8.0,308.15,0.0,True,junction
332,Junction_18033_supply,10.0,359.3562478951201,0.0,True,junction
333,Junction_18033_return,8.0,308.15,0.0,True,junction
334,Junction_18065_supply,10.0,359.3562478951201,0.0,True,junction
335,Junction_18065_return,8.0,308.15,0.0,True,junction
336,Junction_18841_supply,10.0,359.3562478951201,0.0,True,junction
337,Junction_18841_return,8.0,308.15,0.0,True,junction
338,Junction_18843_supply,10.0,359.3562478951201,0.0,True,junction
339,Junction_18843_return,8.0,308.15,0.0,True,junction
340,Junction_18873_supply,10.0,359.3562478951201,0.0,True,junction
341,Junction_18873_return,8.0,308.15,0.0,True,junction
342,Junction_18899_supply,10.0,359.3562478951201,0.0,True,junction
343,Junction_18899_return,8.0,308.15,0.0,True,junction
344,Junction_18900_supply,10.0,359.3562478951201,0.0,True,junction
345,Junction_18900_return,8.0,308.15,0.0,True,junction
346,Junction_18913_supply,10.0,359.3562478951201,0.0,True,junction
347,Junction_18913_return,8.0,308.15,0.0,True,junction
348,Junction_18916_supply,10.0,359.3562478951201,0.0,True,junction
349,Junction_18916_return,8.0,308.15,0.0,True,junction
350,Junction_19191_supply,10.0,359.3562478951201,0.0,True,junction
351,Junction_19191_return,8.0,308.15,0.0,True,junction
352,Junction_19192_supply,10.0,359.3562478951201,0.0,True,junction
353,Junction_19192_return,8.0,308.15,0.0,True,junction
354,Junction_19194_supply,10.0,359.3562478951201,0.0,True,junction
355,Junction_19194_return,8.0,308.15,0.0,True,junction
356,Junction_19267_supply,10.0,359.3562478951201,0.0,True,junction
357,Junction_19267_return,8.0,308.15,0.0,True,junction
358,Junction_19268_supply,10.0,359.3562478951201,0.0,True,junction
359,Junction_19268_return,8.0,308.15,0.0,True,junction
360,Junction_19573_supply,10.0,359.3562478951201,0.0,True,junction
361,Junction_19573_return,8.0,308.15,0.0,True,junction
362,Junction_19575_supply,10.0,359.3562478951201,0.0,True,junction
363,Junction_19575_return,8.0,308.15,0.0,True,junction
364,Junction_19576_supply,10.0,359.3562478951201,0.0,True,junction
365,Junction_19576_return,8.0,308.15,0.0,True,junction
366,Junction_19606_supply,10.0,359.3562478951201,0.0,True,junction
367,Junction_19606_return,8.0,308.15,0.0,True,junction
368,Junction_19608_supply,10.0,359.3562478951201,0.0,True,junction
369,Junction_19608_return,8.0,308.15,0.0,True,junction
370,Junction_19612_supply,10.0,359.3562478951201,0.0,True,junction
371,Junction_19612_return,8.0,308.15,0.0,True,junction
372,Junction_19666_supply,10.0,359.3562478951201,0.0,True,junction
373,Junction_19666_return,8.0,308.15,0.0,True,junction
374,Junction_19699_supply,10.0,359.3562478951201,0.0,True,junction
375,Junction_19699_return,8.0,308.15,0.0,True,junction
376,Junction_19701_supply,10.0,359.3562478951201,0.0,True,junction
377,Junction_19701_return,8.0,308.15,0.0,True,junction
378,Junction_19908_supply,10.0,359.3562478951201,0.0,True,junction
379,Junction_19908_return,8.0,308.15,0.0,True,junction
380,Junction_19916_supply,10.0,359.3562478951201,0.0,True,junction
381,Junction_19916_return,8.0,308.15,0.0,True,junction
